211	ALICE	669	47.5
-211	ALICE	0.0	0.0
321	ALICE	99.7	8.25
-321	ALICE	0.0	0.0
# note you can have comments in the input file
310	ALICE	97.4	8
2212	ALICE	30.5	2.5
-2212	ALICE	0.0	0.0
3122	ALICE	23.4	2.5
-3122	ALICE	0.0	0.0
3312	ALICE	3.34	0.238
-3312	ALICE	0.0	0.0
3334	ALICE	0.595	0.0808
-3334	ALICE	0.0	0.0
313	ALICE	19	3.18
333	ALICE	12.7	1.54
3124	ALICE	0	0
1000010020	ALICE	0.0982	0.0146
-1000010020	ALICE	0.0	0.0
1010010030	ALICE	0.000154	4.10e-05
1000020030	ALICE	0.000329	6.71e-05
-1010010030	ALICE	0.0	0.0
